REGIONE_VISITATA,PERN,NO_PERN
LAZIO,193123,17362
VENETO,173274,6181
LOMBARDIA,165944,48598
TOSCANA,164587,2759
EMILIA-ROMAGNA,58004,519
CAMPANIA,55699,514
PIEMONTE,48147,2960
SICILIA,47356,307
LIGURIA,38055,14424
SARDEGNA,31260,71
TRENTINO ALTO ADIGE,28663,2766
FRIULI VENEZIA GIULIA,21357,31705
PUGLIA,21294,258
MARCHE,16682,2475
ABRUZZO,13167,26
UMBRIA,12294,15
VALLE D'AOSTA,7359,2427
CALABRIA,4941,18
BASILICATA,2030,4
MOLISE,1402,20
