REGIONE_VISITATA,TIPO,TOTALE
LAZIO,PERN,193123
VENETO,PERN,173274
LOMBARDIA,PERN,165944
TOSCANA,PERN,164587
EMILIA-ROMAGNA,PERN,58004
CAMPANIA,PERN,55699
PIEMONTE,PERN,48147
SICILIA,PERN,47356
LIGURIA,PERN,38055
SARDEGNA,PERN,31260
LOMBARDIA,NO_PERN,48598
FRIULI VENEZIA GIULIA,NO_PERN,31705
LAZIO,NO_PERN,17362
LIGURIA,NO_PERN,14424
VENETO,NO_PERN,6181
PIEMONTE,NO_PERN,2960
TRENTINO ALTO ADIGE,NO_PERN,2766
TOSCANA,NO_PERN,2759
MARCHE,NO_PERN,2475
VALLE D'AOSTA,NO_PERN,2427
