DATA,STAGIONE,ANNO,STATO_RESIDENZA,Totale
200504,PRIMAVERA,2005,"CECA, REPUBBLICA",705.666666667
200504,PRIMAVERA,2005,CINA REP.POP.,2650.93142857
200504,PRIMAVERA,2005,DANIMARCA,1015.32525
200504,PRIMAVERA,2005,FINLANDIA,1672.36177778
200504,PRIMAVERA,2005,FRANCIA,982.41182153
200504,PRIMAVERA,2005,GERMANIA,1050.98759863
200504,PRIMAVERA,2005,GIAPPONE,2381.68268254
200504,PRIMAVERA,2005,GRECIA,1181.53744444
200504,PRIMAVERA,2005,INDIA,1766.80807143
200504,PRIMAVERA,2005,IRLANDA,1228.62067568
200504,PRIMAVERA,2005,MESSICO,2367.19540541
200504,PRIMAVERA,2005,NORVEGIA,1886.53083333
200504,PRIMAVERA,2005,OLANDA,1275.07457895
200504,PRIMAVERA,2005,POLONIA,1423.83720354
200504,PRIMAVERA,2005,PORTOGALLO,1312.15148936
200504,PRIMAVERA,2005,REGNO UNITO,1178.02843209
200504,PRIMAVERA,2005,ROMANIA,1662.28895349
200504,PRIMAVERA,2005,RUSSIA,2013.93061538
200504,PRIMAVERA,2005,"SLOVACCA, REPUBBLICA",1504.88526316
200504,PRIMAVERA,2005,SLOVENIA,171.408684211
200504,PRIMAVERA,2005,SPAGNA,1466.49844321
200504,PRIMAVERA,2005,STATI UNITI D'AMERICA,2860.57521496
200504,PRIMAVERA,2005,SVEZIA,1545.58934211
200504,PRIMAVERA,2005,SVIZZERA,479.719507965
200504,PRIMAVERA,2005,UNGHERIA,685.606060606
200505,PRIMAVERA,2005,ARGENTINA,2200.66385714
200505,PRIMAVERA,2005,AUSTRALIA,2971.8785561
200505,PRIMAVERA,2005,AUSTRIA,995.276919192
200505,PRIMAVERA,2005,BELGIO,1198.60105926
200505,PRIMAVERA,2005,BRASILE,3243.98124658
200505,PRIMAVERA,2005,CANADA,2024.80648106
200505,PRIMAVERA,2005,"CECA, REPUBBLICA",1105.62745098
200505,PRIMAVERA,2005,CINA REP.POP.,2704.85128571
200505,PRIMAVERA,2005,DANIMARCA,1275.64864865
200505,PRIMAVERA,2005,FINLANDIA,1442.48714286
200505,PRIMAVERA,2005,FRANCIA,991.531094595
200505,PRIMAVERA,2005,GERMANIA,1106.74729644
200505,PRIMAVERA,2005,GIAPPONE,2102.74878
200505,PRIMAVERA,2005,GRECIA,1673.69650794
200505,PRIMAVERA,2005,INDIA,1350.21545283
200505,PRIMAVERA,2005,IRLANDA,1883.80516484
200505,PRIMAVERA,2005,MESSICO,1750.51741667
200505,PRIMAVERA,2005,NORVEGIA,2119.20390625
200505,PRIMAVERA,2005,OLANDA,1288.50656051
200505,PRIMAVERA,2005,POLONIA,1514.77038739
200505,PRIMAVERA,2005,PORTOGALLO,1292.11294118
200505,PRIMAVERA,2005,REGNO UNITO,1172.89333956
200505,PRIMAVERA,2005,ROMANIA,1657.83474747
200505,PRIMAVERA,2005,RUSSIA,2044.78947273
200505,PRIMAVERA,2005,"SLOVACCA, REPUBBLICA",1211.63252381
200505,PRIMAVERA,2005,SLOVENIA,94.4904198473
200505,PRIMAVERA,2005,SPAGNA,1444.35604233
200505,PRIMAVERA,2005,STATI UNITI D'AMERICA,2894.84325889
200505,PRIMAVERA,2005,SVEZIA,1152.33254286
200505,PRIMAVERA,2005,SVIZZERA,581.021093168
200505,PRIMAVERA,2005,UNGHERIA,882.591066667
200506,ESTATE,2005,ARGENTINA,2099.50109756
200506,ESTATE,2005,AUSTRALIA,2993.33516588
200506,ESTATE,2005,AUSTRIA,1003.10353218
200506,ESTATE,2005,BELGIO,1116.58709013
200506,ESTATE,2005,BRASILE,2852.05959783
200506,ESTATE,2005,CANADA,2043.58795017
200506,ESTATE,2005,"CECA, REPUBBLICA",1098.23809524
200506,ESTATE,2005,CINA REP.POP.,2672.89411765
200506,ESTATE,2005,DANIMARCA,1478.20852137
200506,ESTATE,2005,FINLANDIA,1509.5875
200506,ESTATE,2005,FRANCIA,933.933244898
200506,ESTATE,2005,GERMANIA,1137.48959394
200506,ESTATE,2005,GIAPPONE,2277.81446809
200506,ESTATE,2005,GRECIA,709.710144928
200506,ESTATE,2005,INDIA,967.831953488
200506,ESTATE,2005,IRLANDA,1675.5258427
200506,ESTATE,2005,MESSICO,1829.16786585
200506,ESTATE,2005,NORVEGIA,2422.2052381
200506,ESTATE,2005,OLANDA,1342.01338208
200506,ESTATE,2005,POLONIA,1481.211025
200506,ESTATE,2005,PORTOGALLO,1527.029
200506,ESTATE,2005,REGNO UNITO,1325.44336996
200506,ESTATE,2005,ROMANIA,1880.35349398
200506,ESTATE,2005,RUSSIA,1384.94562745
200506,ESTATE,2005,"SLOVACCA, REPUBBLICA",1318.53528571
200506,ESTATE,2005,SLOVENIA,89.9499665552
200506,ESTATE,2005,SPAGNA,1367.38911765
200506,ESTATE,2005,STATI UNITI D'AMERICA,2563.50025456
200506,ESTATE,2005,SVEZIA,1377.06487578
200506,ESTATE,2005,SVIZZERA,598.592736686
200506,ESTATE,2005,UNGHERIA,823.290666667
200507,ESTATE,2005,ARGENTINA,2608.52760563
200507,ESTATE,2005,AUSTRALIA,2877.54718889
200507,ESTATE,2005,AUSTRIA,843.962509728
200507,ESTATE,2005,BELGIO,1583.5006039
200507,ESTATE,2005,BRASILE,3287.05694079
200507,ESTATE,2005,CANADA,2036.14008914
200507,ESTATE,2005,"CECA, REPUBBLICA",996.626386555
200507,ESTATE,2005,CINA REP.POP.,1997.37333333
200507,ESTATE,2005,DANIMARCA,1451.31576948
200507,ESTATE,2005,FINLANDIA,1072.72881356
200507,ESTATE,2005,FRANCIA,1078.7684736
200507,ESTATE,2005,GERMANIA,1089.64184583
200507,ESTATE,2005,GIAPPONE,2170.46050847
200507,ESTATE,2005,GRECIA,612.768571429
200507,ESTATE,2005,INDIA,934.971466667
